Zone,Préfecture/Province,Arrondissement/Commune,Famille des consistances,Consistance,Affectation,Superficie / étages,Valeur en DH/m²,CS-AC10,,,Immeubles construits,Construction à usage commercial,,*****,17000,Conservation_scrapee
CS-AC17,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure à 10000 m²,6700,,,,,,,,,CASA AIN CHOCK
CS-AC17,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,7200,,,,,,,,,CASA AIN CHOCK
CS-AC17,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,8000,,,,,,,,,CASA AIN CHOCK
CS-AC17,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,7500,,,,,,,,,CASA AIN CHOCK
CS-AC17,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure à 10000 m²,7000,,,,,,,,,CASA AIN CHOCK
CS-AC17,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 1000 m²,2000,,,,,,,,,CASA AIN CHOCK
CS-AC17,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 1000 m²,1500,,,,,,,,,CASA AIN CHOCK
CS-AC17,,,Terrain nu,Terrain nu non équipé,,Inférieure à 1000 m²,5000,,,,,,,,,CASA AIN CHOCK
CS-AC17,,,Terrain nu,Terrain nu non équipé,,Supérieure ou égale à 1000 m²,4000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Immeubles construits,Construction à usage commercial,,*****,16000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Immeubles construits,Villa,,*****,10000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,16000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Immeubles construits,Villa (fermée et sécurisée),,*****,11000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 300 m²,16000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 300 m²,17000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 300 m²,16000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 300 m²,17000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé,,Egal à 3 et 4 étages,15000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,16000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,14000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,17000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé,Villa,Supérieure ou égale à 600 m²,10000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé,Villa,Inférieure à 600 m²,11000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure à 10000 m²,6700,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,7200,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,8000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,7500,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure à 10000 m²,7000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 1000 m²,3000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 1000 m²,2500,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu non équipé,,Inférieure à 1000 m²,5000,,,,,,,,,CASA AIN CHOCK
CS-AC18,,,Terrain nu,Terrain nu non équipé,,Supérieure ou égale à 1000 m²,4000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Immeubles construits,Construction à usage commercial,,*****,18000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Immeubles construits,Villa,,*****,11000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 300 m²,16000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 300 m²,15000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 300 m²,15000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 300 m²,16000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,,Egal à 3 et 4 étages,16000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,18000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,17000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,Villa,Supérieure ou égale à 600 m²,12000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,Villa,Inférieure à 600 m²,13000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Inférieure à 300 m²,4000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Supérieure ou égale à 300 m²,3000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Inférieure à 2000 m²,9000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure à 10000 m²,8000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,9000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure à 10000 m²,8000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,8500,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 1000 m²,3500,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 1000 m²,3000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu non équipé,,Inférieure à 1000 m²,5000,,,,,,,,,CASA AIN CHOCK
CS-AC19,,,Terrain nu,Terrain nu non équipé,,Supérieure ou égale à 1000 m²,4000,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Immeubles construits,Construction à usage commercial,,*****,14000,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Immeubles construits,Villa,,*****,10000,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 300 m²,13000,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 300 m²,14000,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 300 m²,13000,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 300 m²,14000,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,,Egal à 3 et 4 étages,10000,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,9000,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,12000,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,Villa,Supérieure ou égale à 600 m²,7000,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,Villa,Inférieure à 600 m²,8000,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Supérieure ou égale à 300 m²,4000,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Inférieure à 300 m²,5000,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure à 10000 m²,4600,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Inférieure à 2000 m²,5600,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,6500,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure à 10000 m²,6000,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,7000,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 1000 m²,1500,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 1000 m²,2000,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu non équipé,,Inférieure à 1000 m²,4000,,,,,,,,,CASA AIN CHOCK
CS-AC2,,,Terrain nu,Terrain nu non équipé,,Supérieure ou égale à 1000 m²,3000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Immeubles construits,Construction à usage commercial,,*****,15000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Immeubles construits,Villa,,*****,9000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,14000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Immeubles construits,Villa (fermée et sécurisée),,*****,10000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 300 m²,15000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 300 m²,14000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 300 m²,15000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 300 m²,14000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé,,Egal à 3 et 4 étages,13000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,15000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,14000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,12000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé,Villa,Supérieure ou égale à 600 m²,9000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé,Villa,Inférieure à 600 m²,10000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure à 10000 m²,6000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Inférieure à 2000 m²,7000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure à 10000 m²,6500,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,7000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,7500,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 1000 m²,1500,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 1000 m²,2000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu non équipé,,Supérieure ou égale à 1000 m²,3000,,,,,,,,,CASA AIN CHOCK
CS-AC20,,,Terrain nu,Terrain nu non équipé,,Inférieure à 1000 m²,4000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Immeubles construits,Construction à usage commercial,,*****,17000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Immeubles construits,Villa,,*****,10000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,16000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Immeubles construits,Villa (fermée et sécurisée),,*****,11000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 300 m²,12000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 300 m²,13000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 300 m²,12000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 300 m²,13000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,12000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,,Egal à 3 et 4 étages,11000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,13000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,10000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,Villa,Inférieure à 600 m²,12000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,Villa,Supérieure ou égale à 600 m²,11000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Inférieure à 300 m²,4000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Inférieure à 2000 m²,7700,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure à 10000 m²,6700,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,7200,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,8000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure à 10000 m²,7000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,7500,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 1000 m²,1500,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 1000 m²,2000,,,,,,,,,CASA AIN CHOCK
CS-AC21,,,Terrain nu,Terrain nu non équipé,,Inférieure à 1000 m²,4000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Immeubles construits,Construction à usage commercial,,*****,16000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Immeubles construits,Construction à usage touristique,,*****,16000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Immeubles construits,Villa,,*****,10000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,15000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Immeubles construits,Villa (fermée et sécurisée),,*****,11000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 300 m²,14000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 300 m²,15000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 300 m²,15000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,12000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,15000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,14500,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,,Egal à 3 et 4 étages,14000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,Villa,Inférieure à 600 m²,11000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,Villa,Supérieure ou égale à 600 m²,10000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Supérieure ou égale à 300 m²,3000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Inférieure à 300 m²,4000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,7200,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Inférieure à 2000 m²,7700,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure à 10000 m²,6700,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,7500,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,8000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure à 10000 m²,7000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 1000 m²,2000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu non équipé,,Inférieure à 1000 m²,4000,,,,,,,,,CASA AIN CHOCK
CS-AC22,,,Terrain nu,Terrain nu non équipé,,Supérieure ou égale à 1000 m²,3000,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Immeubles construits,Construction à usage commercial,,*****,17000,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Immeubles construits,Construction à usage touristique,,*****,17000,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Immeubles construits,Villa,,*****,8000,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,14500,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Immeubles construits,Villa (fermée et sécurisée),,*****,8500,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 300 m²,13000,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 300 m²,13000,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 300 m²,12000,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,10000,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé,,Egal à 3 et 4 étages,11000,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,13000,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,12000,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé,Villa,Inférieure à 600 m²,11000,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Supérieure ou égale à 300 m²,3000,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Inférieure à 300 m²,4000,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Inférieure à 2000 m²,7700,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,7200,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure à 10000 m²,6700,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure à 10000 m²,6500,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,7500,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 1000 m²,1500,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 1000 m²,2000,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu non équipé,,Supérieure ou égale à 1000 m²,3000,,,,,,,,,CASA AIN CHOCK
CS-AC23,,,Terrain nu,Terrain nu non équipé,,Inférieure à 1000 m²,4000,,,,,,,,,CASA AIN CHOCK
CS-AC24,,,Immeubles construits,Construction à usage commercial,,*****,15000,,,,,,,,,CASA AIN CHOCK
CS-AC24,,,Immeubles construits,Construction à usage touristique,,*****,15000,,,,,,,,,CASA AIN CHOCK
CS-AC24,,,Immeubles construits,Villa,,*****,9000,,,,,,,,,CASA AIN CHOCK
